"Bookstore","City","State","Outside 2021","Walkscore","Walkscore Description","Bike Score","Bike Score Description","Transit Score","Transit Score Description"
"Root & Press","Worcester","MA","",53,"Somewhat Walkable",23,"Somewhat Bikeable",26,"Some Transit"
"The Silver Unicorn Bookstore","Acton","MA","",48,"Car-Dependent",40,"Somewhat Bikeable",0,""
"An Unlikely Story","Plainville","MA","",46,"Car-Dependent",43,"Somewhat Bikeable",0,""
"Buttonwood Books and Toys","Cohasset","MA","",45,"Car-Dependent",32,"Somewhat Bikeable",0,""
"The Book Shop of Beverly Farms","Beverly Farms","MA","",42,"Car-Dependent",45,"Somewhat Bikeable",0,""
"Storybook Cove","Hanover","MA","",42,"Car-Dependent",35,"Somewhat Bikeable",0,""
"Books By The Sea","Centerville","MA","",41,"Car-Dependent",36,"Somewhat Bikeable",21,"Minimal Transit"
"Aesop's Fable","Holliston","MA","",39,"Car-Dependent",44,"Somewhat Bikeable",0,""
"Titcomb's Bookshop","East Sandwich","MA","",39,"Car-Dependent",41,"Somewhat Bikeable",0,""
"Shaker Mill Books","West Stockbridge","MA","",25,"Car-Dependent",32,"Somewhat Bikeable",0,""
"The Eric Carle Museum of Picture Book Art","Amherst","MA","",20,"Car-Dependent",61,"Bikeable",0,""
"I Cannot Live Without Books","West Dennis","MA","",20,"Car-Dependent",31,"Somewhat Bikeable",0,""
"Gordon College Bookstore","Wenham","MA","",14,"Car-Dependent",40,"Somewhat Bikeable",0,""
"The Thoreau Society Shop at Walden Pond","Concord","MA","",11,"Car-Dependent",23,"Somewhat Bikeable",0,""
"Hygge House Books","Westborough","MA","",2,"Car-Dependent",9,"Somewhat Bikeable",0,""
"Brown University Bookstore","Providence","RI","",94,"Walker's Paradise",63,"Bikeable",70,"Excellent Transit"
"Books on the Square (RI)","Providence","RI","",89,"Very Walkable",71,"Very Bikeable",41,"Some Transit"
"Symposium Books","Providence","RI","",86,"Very Walkable",87,"Very Bikeable",77,"Excellent Transit"
"Symposium Books @ Waterfire Arts Center","Providence","RI","",83,"Very Walkable",74,"Very Bikeable",44,"Some Transit"
"Riffraff","Providence","RI","",80,"Very Walkable",83,"Very Bikeable",46,"Some Transit"
"Ink Fish Books","Warren","RI","",78,"Very Walkable",81,"Very Bikeable",0,""
"Barrington Books","Barrington","RI","",65,"Somewhat Walkable",68,"Bikeable",0,""
"The Book Nerd","Barrington","RI","",63,"Somewhat Walkable",70,"Very Bikeable",0,""
"Atticus Bookstore Cafe","New Haven","CT","",97,"Walker's Paradise",97,"Biker's Paradise",76,"Excellent Transit"
"People Get Ready Bookspace","New Haven","CT","",92,"Walker's Paradise",84,"Very Bikeable",59,"Good Transit"
"Fairfield University Bookstore","Fairfield","CT","",87,"Very Walkable",58,"Bikeable",0,""
"Elm Street Books","New Canaan","CT","",86,"Very Walkable",47,"Somewhat Bikeable",0,""
"Books on the Common","Ridgefield","CT","",82,"Very Walkable",42,"Somewhat Bikeable",0,""
"Atticus Market (East Rock)","New Haven","CT","",77,"Very Walkable",89,"Very Bikeable",44,"Some Transit"
"The Key Bookstore","Hartford","CT","",77,"Very Walkable",71,"Very Bikeable",57,"Good Transit"
"Byrd's Books","Bethel","CT","",74,"Very Walkable",47,"Somewhat Bikeable",0,""
"Athena Books LLC","Old Greenwich","CT","",66,"Somewhat Walkable",49,"Somewhat Bikeable",0,""
"Barrett Bookstore","Darien","CT","",65,"Somewhat Walkable",42,"Somewhat Bikeable",51,"Good Transit"
"Dogwood Books & Gifts","Greenwich","CT","",63,"Somewhat Walkable",19,"Somewhat Bikeable",0,""
"Reader's Block LLC","Stratford","CT","",62,"Somewhat Walkable",55,"Bikeable",0,""
"River Bend Bookshop","Glastonbury","CT","",61,"Somewhat Walkable",45,"Somewhat Bikeable",0,""
"Kindred Thoughts","Bridgeport","CT","",46,"Car-Dependent",61,"Bikeable",42,"Some Transit"
"Turning the Page","Monroe","CT","",39,"Car-Dependent",18,"Somewhat Bikeable",0,""
"The Book Rack (CT)","Vernon","CT","",38,"Car-Dependent",43,"Somewhat Bikeable",0,""
"House of Books and Games","Windsor","CT","",7,"Car-Dependent",25,"Somewhat Bikeable",0,""
"Book Club","New York","NY","",100,"Walker's Paradise",99,"Biker's Paradise",100,"Rider's Paradise"
"Import News LES","New York","NY","",100,"Walker's Paradise",97,"Biker's Paradise",100,"Rider's Paradise"
"Bravo's Book Nook at the Players Theatre","New York","NY","",100,"Walker's Paradise",96,"Biker's Paradise",100,"Rider's Paradise"
"Civil Service Bookshop","New York","NY","",100,"Walker's Paradise",96,"Biker's Paradise",100,"Rider's Paradise"
"Housing Works Bookstore","New York","NY","",100,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"McNally Jackson Books","New York","NY","",100,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"NYU Bookstore","New York","NY","",100,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"Strand Bookstore","New York","NY","",100,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"Three Lives & Co.","New York","NY","",100,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"Greenlight Bookstore (Fort Greene)","Brooklyn","NY","",100,"Walker's Paradise",93,"Biker's Paradise",100,"Rider's Paradise"
"Poster House","New York","NY","",100,"Walker's Paradise",93,"Biker's Paradise",100,"Rider's Paradise"
"McNally Jackson Books (Williamsburg)","Brooklyn","NY","",100,"Walker's Paradise",92,"Biker's Paradise",98,"Rider's Paradise"
"Books of Wonder","New York","NY","",100,"Walker's Paradise",91,"Biker's Paradise",100,"Rider's Paradise"
"Yu and Me Books","New York","NY","",100,"Walker's Paradise",89,"Very Bikeable",100,"Rider's Paradise"
"McNally Jackson Books (Seaport)","New York","NY","",100,"Walker's Paradise",88,"Very Bikeable",100,"Rider's Paradise"
"JHU Comic Books","New York","NY","",100,"Walker's Paradise",86,"Very Bikeable",100,"Rider's Paradise"
"Books Are Magic","Brooklyn","NY","",99,"Walker's Paradise",97,"Biker's Paradise",100,"Rider's Paradise"
"Idlewild Books","New York","NY","",99,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"Bureau of General Services--Queer Division","New York","NY","",99,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"Community Bookstore","Brooklyn","NY","",99,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"Hudson Booksellers PENN (224)","New York","NY","",99,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"The Center For Fiction Bookstore","Brooklyn","NY","",99,"Walker's Paradise",93,"Biker's Paradise",100,"Rider's Paradise"
"1804 Books","New York","NY","",99,"Walker's Paradise",91,"Biker's Paradise",100,"Rider's Paradise"
"McNally Jackson Books (City Point)","Brooklyn","NY","",99,"Walker's Paradise",91,"Biker's Paradise",100,"Rider's Paradise"
"Buffalo Street Books","Ithaca","NY","",99,"Walker's Paradise",91,"Biker's Paradise",0,""
"Shakespeare & Co. (Broadway)","New York","NY","",99,"Walker's Paradise",90,"Biker's Paradise",100,"Rider's Paradise"
"Mil Mundos Books","Brooklyn","NY","",99,"Walker's Paradise",89,"Very Bikeable",98,"Rider's Paradise"
"The POWERHOUSE Arena","Brooklyn","NY","",99,"Walker's Paradise",88,"Very Bikeable",100,"Rider's Paradise"
"The Mysterious Bookshop","New York","NY","",99,"Walker's Paradise",87,"Very Bikeable",100,"Rider's Paradise"
"The Strand at Columbus Avenue","Manhattan","NY","",99,"Walker's Paradise",85,"Very Bikeable",100,"Rider's Paradise"
"Shakespeare & Co.","New York","NY","",99,"Walker's Paradise",80,"Very Bikeable",100,"Rider's Paradise"
"Golden Lab Bookshop","Astoria","NY","",99,"Walker's Paradise",78,"Very Bikeable",100,"Rider's Paradise"
"The Corner Bookstore (NY)","New York","NY","",99,"Walker's Paradise",72,"Very Bikeable",100,"Rider's Paradise"
"Revolution Books (NY)","New York","NY","",99,"Walker's Paradise",71,"Very Bikeable",100,"Rider's Paradise"
"The BookMark Shoppe","Brooklyn","NY","",99,"Walker's Paradise",66,"Bikeable",88,"Excellent Transit"
"WORD","Brooklyn","NY","",98,"Walker's Paradise",95,"Biker's Paradise",78,"Excellent Transit"
"Cafe Con Libros (Brooklyn)","Brooklyn","NY","",98,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"The New York Public Library Shop","New York","NY","",98,"Walker's Paradise",90,"Biker's Paradise",100,"Rider's Paradise"
"Books on Call NYC","New York","NY","",98,"Walker's Paradise",89,"Very Bikeable",100,"Rider's Paradise"
"Drama Book Shop","New York","NY","",98,"Walker's Paradise",88,"Very Bikeable",100,"Rider's Paradise"
"Book Culture","New York","NY","",98,"Walker's Paradise",83,"Very Bikeable",100,"Rider's Paradise"
"Astoria Bookshop","Astoria","NY","",98,"Walker's Paradise",80,"Very Bikeable",100,"Rider's Paradise"
"QED New York","Astoria","NY","",98,"Walker's Paradise",80,"Very Bikeable",82,"Excellent Transit"
"Topos Bookstore","Ridgewood","NY","",98,"Walker's Paradise",75,"Very Bikeable",96,"Rider's Paradise"
"Import News","Brooklyn","NY","",97,"Walker's Paradise",96,"Biker's Paradise",100,"Rider's Paradise"
"Hey Kids Comics!","Brooklyn","NY","",97,"Walker's Paradise",95,"Biker's Paradise",83,"Excellent Transit"
"192 Books","New York","NY","",97,"Walker's Paradise",94,"Biker's Paradise",100,"Rider's Paradise"
"Word Up Community Bookshop","New York","NY","",97,"Walker's Paradise",81,"Very Bikeable",100,"Rider's Paradise"
"Edamama Enterprise Inc.","Brooklyn","NY","",96,"Walker's Paradise",94,"Biker's Paradise",98,"Rider's Paradise"
"POWERHOUSE on 8th","Brooklyn","NY","",96,"Walker's Paradise",89,"Very Bikeable",100,"Rider's Paradise"
"Boogie Down Books","Bronx","NY","",96,"Walker's Paradise",81,"Very Bikeable",100,"Rider's Paradise"
"Book Culture on Broadway","New York","NY","",96,"Walker's Paradise",75,"Very Bikeable",100,"Rider's Paradise"
"The Word Is Change","Brooklyn","NY","",95,"Walker's Paradise",76,"Very Bikeable",100,"Rider's Paradise"
"Here's A Book Store","Brooklyn","NY","",95,"Walker's Paradise",69,"Bikeable",93,"Rider's Paradise"
"Kew & Willow Books","Kew Gardens","NY","",95,"Walker's Paradise",55,"Bikeable",100,"Rider's Paradise"
"Freebird Books and Goods","Brooklyn","NY","",94,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"Terrace Books","Brooklyn","NY","",94,"Walker's Paradise",88,"Very Bikeable",97,"Rider's Paradise"
"Greenlight Bookstore (Prospect Lefferts Gardens)","Brooklyn","NY","",94,"Walker's Paradise",86,"Very Bikeable",100,"Rider's Paradise"
"Book Culture (Long Island City)","Long Island City","NY","",94,"Walker's Paradise",85,"Very Bikeable",100,"Rider's Paradise"
"Cups and Books","Brookyln","NY","",94,"Walker's Paradise",84,"Very Bikeable",100,"Rider's Paradise"
"POWERHOUSE@IC","Brooklyn","NY","",94,"Walker's Paradise",72,"Very Bikeable",100,"Rider's Paradise"
"Odyssey Bookstore","Ithaca","NY","",93,"Walker's Paradise",90,"Biker's Paradise",0,""
"Parthenon Booksellers","Syracuse","NY","",93,"Walker's Paradise",74,"Very Bikeable",59,"Good Transit"
"Head Hi","Brooklyn","NY","",92,"Walker's Paradise",97,"Biker's Paradise",100,"Rider's Paradise"
"Hipocampo Children's Books","Rochester","NY","",92,"Walker's Paradise",81,"Very Bikeable",43,"Some Transit"
"The Open Door Bookstore","Schenectady","NY","",92,"Walker's Paradise",66,"Bikeable",51,"Good Transit"
"La vie est Belle Librairie","Larchmont","NY","",91,"Walker's Paradise",53,"Bikeable",0,""
"Womrath Bookshop","Bronxville","NY","",91,"Walker's Paradise",48,"Somewhat Bikeable",0,""
"The Lit. Bar","Bronx","NY","",89,"Very Walkable",78,"Very Bikeable",100,"Rider's Paradise"
"JHU Comics (Staten Island)","Staten Island","NY","",89,"Very Walkable",58,"Bikeable",72,"Excellent Transit"
"Market Block Books","Troy","NY","",89,"Very Walkable",58,"Bikeable",55,"Good Transit"
"Transom Bookshop","Tarrytown","NY","",89,"Very Walkable",32,"Somewhat Bikeable",0,""
"Andersons Larchmont","Larchmont","NY","",88,"Very Walkable",59,"Bikeable",0,""
"Blue Door Books","Cedarhurst","NY","",87,"Very Walkable",56,"Bikeable",0,""
"Pickwick Bookstore","Nyack","NY","",87,"Very Walkable",46,"Somewhat Bikeable",0,""
"Hudson Valley Books for Humanity","Ossining","NY","",87,"Very Walkable",41,"Somewhat Bikeable",44,"Some Transit"
"Talking Leaves...Books","Buffalo","NY","",84,"Very Walkable",87,"Very Bikeable",48,"Some Transit"
"St. John's University Queens Campus Bookstore","Jamaica","NY","",84,"Very Walkable",52,"Bikeable",100,"Rider's Paradise"
"The Village Bookstore (NY)","Pleasantville","NY","",84,"Very Walkable",45,"Somewhat Bikeable",0,""
"Theodore's Books","Oyster Bay","NY","",83,"Very Walkable",66,"Bikeable",0,""
"Nassau County Community College Bookstore","Garden City","NY","",82,"Very Walkable",51,"Bikeable",45,"Some Transit"
"The Dolphin Bookshop","Port Washington","NY","",82,"Very Walkable",40,"Somewhat Bikeable",0,""
"Avoid The Day Bookstore, Bar, & Cafe","Rockaway Beach","NY","",81,"Very Walkable",75,"Very Bikeable",83,"Excellent Transit"
"Bronx River Books","Scarsdale","NY","",81,"Very Walkable",55,"Bikeable",51,"Good Transit"
"Element of Fun","Rochester","NY","",75,"Very Walkable",70,"Very Bikeable",46,"Some Transit"
"Ampersand Books","Rochester","NY","",74,"Very Walkable",72,"Very Bikeable",44,"Some Transit"
"Arcade Booksellers","Rye","NY","",74,"Very Walkable",47,"Somewhat Bikeable",0,""
"Syracuse University Bookstore","Syracuse","NY","",73,"Very Walkable",65,"Bikeable",56,"Good Transit"
"Golden Bee Bookshop","Liverpool","NY","",72,"Very Walkable",50,"Bikeable",0,""
"Lock City Books","Lockport","NY","",70,"Somewhat Walkable",63,"Bikeable",0,""
"Rensselaer Polytechnic Institute Collegiate Store","Troy","NY","",68,"Somewhat Walkable",45,"Somewhat Bikeable",49,"Some Transit"
"I Love Books","Delmar","NY","",67,"Somewhat Walkable",53,"Bikeable",0,""
"Yesterday's Muse Books","Webster","NY","",66,"Somewhat Walkable",44,"Somewhat Bikeable",0,""
"Alice, Ever After Books","Buffalo","NY","",65,"Somewhat Walkable",62,"Bikeable",47,"Some Transit"
"Scattered Books","Chappaqua","NY","",64,"Somewhat Walkable",29,"Somewhat Bikeable",0,""
"Locust Valley Bookstore","Locust Valley","NY","",60,"Somewhat Walkable",40,"Somewhat Bikeable",0,""
"Picture Book","Dobbs Ferry","NY","",60,"Somewhat Walkable",24,"Somewhat Bikeable",0,""
"Hudson Booksellers LGA (1047)","Flushing","NY","",56,"Somewhat Walkable",53,"Bikeable",69,"Good Transit"
"Hudson Booksellers LGA (357)","Flushing","NY","",56,"Somewhat Walkable",53,"Bikeable",69,"Good Transit"
"Book House of Stuyvesant Plaza","Albany","NY","",44,"Car-Dependent",51,"Bikeable",0,""
"West NY Books","Williamsville","NY","",43,"Car-Dependent",43,"Somewhat Bikeable",0,""
"Stony Brook University Bookstore (B&N Store)","Stony Brook","NY","",30,"Car-Dependent",41,"Somewhat Bikeable",0,""
"Kingsborough Community College Bookstore","Brooklyn","NY","",25,"Car-Dependent",39,"Somewhat Bikeable",48,"Some Transit"
"The Voracious Reader","New Rochelle","NY","",23,"Car-Dependent",31,"Somewhat Bikeable",28,"Some Transit"
"SUNY Buffalo University Bookstore","Buffalo","NY","",9,"Car-Dependent",35,"Somewhat Bikeable",0,""
"Monkey See, Monkey Do...Children's Bookstore","Clarence","NY","",3,"Car-Dependent",26,"Somewhat Bikeable",0,""
"WORD Jersey City","Jersey City","NJ","",100,"Walker's Paradise",78,"Very Bikeable",83,"Excellent Transit"
"Little City Children's Book Annex","Hoboken","NJ","",100,"Walker's Paradise",76,"Very Bikeable",86,"Excellent Transit"
"Little City Books","Hoboken","NJ","",99,"Walker's Paradise",76,"Very Bikeable",87,"Excellent Transit"
"Hudson County Community College Bookstore","Jersey City","NJ","",99,"Walker's Paradise",59,"Bikeable",79,"Excellent Transit"
"Hidden Gems Literary Emporium","New Brunswick","NJ","",97,"Walker's Paradise",71,"Very Bikeable",46,"Some Transit"
"The Town Book Store","Westfield","NJ","",96,"Walker's Paradise",50,"Bikeable",40,"Some Transit"
"jaZams","Princeton","NJ","",92,"Walker's Paradise",86,"Very Bikeable",0,""
"Asbury Book Cooperative","Asbury Park","NJ","",92,"Walker's Paradise",74,"Very Bikeable",0,""
"Little City Books Uptown","Hoboken","NJ","",92,"Walker's Paradise",73,"Very Bikeable",73,"Excellent Transit"
"Source of Knowledge","Newark","NJ","",92,"Walker's Paradise",59,"Bikeable",96,"Rider's Paradise"
"Christ Church (Montclair)","Montclair","NJ","",92,"Walker's Paradise",56,"Bikeable",0,""
"Montclair Book Center","Montclair","NJ","",91,"Walker's Paradise",0,"",0,""
"Labyrinth Books (NJ)","Princeton","NJ","",90,"Very Walkable",84,"Very Bikeable",0,""
"ANT Bookstore","Clifton","NJ","",88,"Very Walkable",48,"Somewhat Bikeable",49,"Some Transit"
"[words] Bookstore","Maplewood","NJ","",87,"Very Walkable",48,"Somewhat Bikeable",0,""
"BookTowne","Manasquan","NJ","",84,"Very Walkable",73,"Very Bikeable",0,""
"The Book House","Millburn","NJ","",82,"Very Walkable",46,"Somewhat Bikeable",0,""
"The Curious Reader","Glen Rock","NJ","",79,"Very Walkable",51,"Bikeable",0,""
"The Cloak & Dagger","Princeton","NJ","",76,"Very Walkable",97,"Biker's Paradise",0,""
"The Little Boho Bookshop","Bayonne","NJ","",75,"Very Walkable",51,"Bikeable",67,"Good Transit"
"Watchung Booksellers","Montclair","NJ","",68,"Somewhat Walkable",55,"Bikeable",0,""
"River Road Books","Fair Haven","NJ","",68,"Somewhat Walkable",50,"Bikeable",0,""
"Hudson Booksellers EWR (940)","Elizabeth","NJ","",66,"Somewhat Walkable",46,"Somewhat Bikeable",50,"Good Transit"
"Hudson Booksellers EWR C118A (916)","Elizabeth","NJ","",66,"Somewhat Walkable",46,"Somewhat Bikeable",50,"Good Transit"
"Inkwood Books (NJ)","Haddonfield","NJ","",66,"Somewhat Walkable",45,"Somewhat Bikeable",0,""
"The Bookworm (NJ)","Bernardsville","NJ","",65,"Somewhat Walkable",34,"Somewhat Bikeable",0,""
"Thunder Road Books","Spring Lake","NJ","",60,"Somewhat Walkable",70,"Very Bikeable",0,""
"Books and Greetings","Northvale","NJ","",49,"Car-Dependent",56,"Bikeable",0,""
"[words] Bookstore at LifeTown","Livingston","NJ","",47,"Car-Dependent",37,"Somewhat Bikeable",0,""
"Montclair State University Bookstore","Montclair","NJ","",34,"Car-Dependent",13,"Somewhat Bikeable",0,""
"Bergen Community College Bookstore","Paramus","NJ","",31,"Car-Dependent",38,"Somewhat Bikeable",46,"Some Transit"
"Hudson Booksellers EWR A11 (778)","Elizabeth","NJ","",21,"Car-Dependent",35,"Somewhat Bikeable",49,"Some Transit"
"Hudson Booksellers EWR C1 (396)","Elizabeth","NJ","",21,"Car-Dependent",35,"Somewhat Bikeable",49,"Some Transit"
"Christ Church","Rockaway","NJ","",14,"Car-Dependent",30,"Somewhat Bikeable",0,""
"Shakespeare & Co. (PA)","Philadelphia","PA","Yes",100,"Walker's Paradise",88,"Very Bikeable",100,"Rider's Paradise"
"Amazing Books & Records","Pittsburgh","PA","",100,"Walker's Paradise",82,"Very Bikeable",99,"Rider's Paradise"
"A Novel Idea on Passyunk","Philadelphia","PA","Yes",99,"Walker's Paradise",79,"Very Bikeable",80,"Excellent Transit"
"Neighborhood Books","Philadelphia","PA","Yes",97,"Walker's Paradise",95,"Biker's Paradise",100,"Rider's Paradise"
"Head House Books","Philadelphia","PA","Yes",97,"Walker's Paradise",86,"Very Bikeable",65,"Good Transit"
"Few of a Kind Store","Pittsburgh","PA","",96,"Walker's Paradise",98,"Biker's Paradise",59,"Good Transit"
"White Whale Bookstore","Pittsburgh","PA","",96,"Walker's Paradise",98,"Biker's Paradise",59,"Good Transit"
"Making Worlds Bookstore and Social Center","Philadelphia","PA","Yes",96,"Walker's Paradise",95,"Biker's Paradise",88,"Excellent Transit"
"Webster's Bookstore Cafe","State College","PA","",96,"Walker's Paradise",87,"Very Bikeable",46,"Some Transit"
